Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Open connection sampler,1,24,24,24,24,24,24,24,0.000%,41.66667,1.95,0.00
test_01,114635,11259,11329,12900,13556,15841,65,24617,3.796%,3.97896,0.88,0.00
Transaction Controller,114639,11259,11329,12900,13556,15841,0,24617,3.795%,3.97896,0.88,0.00
Close connection sampler,1,2216,2216,2216,2216,2216,2216,2216,0.000%,.45126,0.00,0.00
TOTAL,229276,11259,11329,12900,13556,15841,0,24617,3.795%,7.95722,1.76,0.00
